source_id,x_ref,y_ref,filename,flux,flux_err,mag,mag_err,snr,sky_bkg,temporal_snr
127,559.995377,603.186712,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,15808.132881,128.287180,-10.497201,0.008811,123.224573,8.269278,31.977026
129,625.151185,608.589160,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,5767.774342,80.093913,-9.402521,0.015077,72.012643,8.241177,21.204629
131,562.969877,622.295466,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2113.745249,52.014744,-8.312632,0.026717,40.637425,7.534883,7.499083
136,624.762207,663.663230,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,346995.807142,593.224874,-13.850811,0.001856,584.931317,62.642675,35.766197
139,752.616559,679.204746,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3727.520373,64.521252,-8.928550,0.018793,57.771978,5.544597,16.053877
142,556.862636,699.810853,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3786.306556,68.906739,-8.945539,0.019759,54.948276,12.246427,14.653830
143,548.416241,708.470547,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,11813.736827,112.974752,-10.180968,0.010383,104.569708,12.090146,34.332634
144,867.534533,708.067848,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,125515.739925,357.673218,-12.746745,0.003094,350.922948,30.740976,33.457908
147,474.579304,721.118435,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,8922.358449,97.388179,-9.876199,0.011850,91.616442,7.156866,27.754673
148,636.329879,730.614106,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,20020.212499,144.208656,-10.753672,0.007820,138.828092,9.879371,36.916647
158,895.933694,787.631681,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,7069.952174,89.438232,-9.623541,0.013735,79.048434,11.831517,27.533406
159,903.505113,789.274386,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,6279.033022,83.864355,-9.494732,0.014501,74.871297,9.602735,24.367595
160,596.654366,791.134479,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,6000.580977,83.930880,-9.445483,0.015186,71.494318,13.290222,16.723134
162,600.060773,802.913741,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,5699.014850,80.301100,-9.389499,0.015298,70.970570,9.539770,19.947202
164,721.182150,812.275056,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,7938.811122,91.517966,-9.749389,0.012516,86.745931,5.560580,24.820697
165,721.172688,812.632289,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,7981.989390,91.798909,-9.755278,0.012486,86.950809,5.666557,24.645710
167,884.570110,839.818923,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,27423.606833,167.936592,-11.095311,0.006649,163.297388,9.919711,33.709347
168,840.205199,848.419088,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,23078.442886,154.075674,-10.908016,0.007248,149.786415,8.414463,34.175653
169,536.352992,857.679117,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,6251.295929,82.292512,-9.489925,0.014292,75.964335,6.630543,21.547846
170,477.678252,861.365206,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,5639.178168,79.859118,-9.378040,0.015375,70.614081,9.400334,21.292599
26,927.872584,110.366658,018994_00000_CN2025A-65_cycle_0_pointing_1_calibrated_bgsub.fits,4376.840674,68.163674,-9.102902,0.016908,64.210751,3.430690,18.417756
28,880.774087,114.162490,018994_00000_CN2025A-65_cycle_0_pointing_1_calibrated_bgsub.fits,211811.496349,463.750344,-13.314874,0.002377,456.736042,41.417017,32.544735
33,661.146847,140.675554,018994_00000_CN2025A-65_cycle_0_pointing_1_calibrated_bgsub.fits,3737.606599,63.770535,-8.931484,0.018524,58.610243,4.189908,13.471763
35,920.147012,150.744441,018994_00000_CN2025A-65_cycle_0_pointing_1_calibrated_bgsub.fits,8482.555740,94.595750,-9.821317,0.012108,89.671636,5.930753,27.880577
36,602.787340,156.858526,018994_00000_CN2025A-65_cycle_0_pointing_1_calibrated_bgsub.fits,6431.585427,84.153209,-9.520795,0.014206,76.427097,8.278312,23.985381
